Key,Summary,Issue Type,Epic,Epic Name,Priority,Story Points,Milestone,Requirements,Depends On,Description,Acceptance Criteria
AITP-20,RuntimeAdapter-Interface definieren,Story,EP-03,Runtime-Adapter & Simulatoren,Must,5,M1,"FR-30, FR-35",,"packages/runtime-core mit dem Interface aus docs/02 §2.3: mount, unmount, subscribe, query, resolveTarget, describeSurface, snapshot, restore.","- Interface ist dokumentiert und typisiert
- Eine gemeinsame Contract-Testsuite existiert, gegen die jeder Adapter läuft
- Kein Adapter importiert die Training Engine"
AITP-21,VS-Code-Simulator auf korrekte Informationsarchitektur ausbauen,Story,EP-03,Runtime-Adapter & Simulatoren,Must,13,M1,FR-31,AITP-20,"Der Simulator muss nicht nur ähnlich aussehen, sondern die Struktur korrekt vermitteln: Menüleiste (File/Edit/Selection/View/Go/Run/Terminal/Help), Activity Bar, Side Bar mit Explorer/Search/Source Control/Extensions, Editor mit Tabs, Panel mit Terminal/Problems/ Output, Statusleiste mit Branch und Interpreter.","- Alle genannten Bereiche sind vorhanden und benennbar
- Menüleiste ist aufklappbar und enthält die für die Szenarien nötigen Einträge
- Panel-Tabs Terminal, Problems, Output sind umschaltbar
- Statusleiste zeigt Branch und Sprachumgebung"
AITP-22,Workspace- vs. Ordner-Konzept im Simulator abbilden,Story,EP-03,Runtime-Adapter & Simulatoren,Must,8,M1,FR-32,AITP-21,"Ordner öffnen und Workspace öffnen sind unterschiedliche Vorgänge mit unterschiedlichen Folgen (Mehrordner, Workspace-Einstellungen, Extension-Empfehlungen). Genau dieses Konzept fehlt unerfahrenen Nutzern am häufigsten.","- Beide Vorgänge sind im Simulator durchführbar und unterscheidbar
- Ein Workspace kann mehrere Ordner enthalten
- Workspace-Einstellungen sind sichtbar (auch wenn nur exemplarisch)
- Zugehörige Events (workspace.opened, folder.opened) werden emittiert"
AITP-23,Terminal-Simulator mit deterministischer Kommandoerkennung,Story,EP-03,Runtime-Adapter & Simulatoren,Must,8,M1,FR-33,AITP-20,"Kommandotabelle mit Ausgaben, inklusive Fehlerfällen (unbekannter Befehl, git commit ohne Staging, Tippfehler). Fehlerfälle sind didaktisch wertvoll und dürfen nicht fehlen.","- git status, git add, git commit, ls, cd, python liefern realistische Ausgaben
- Mindestens drei Fehlerfälle mit hilfreicher Originalfehlermeldung
- Kommandos werden als terminal.command.executed emittiert
- Ausgabe hängt vom Zustand des Dateisystems im Simulator ab, nicht von einer Skriptfolge"
AITP-24,Copilot-Simulation als eigenständiger Adapter innerhalb von VS Code,Story,EP-03,Runtime-Adapter & Simulatoren,Must,8,M2,"FR-02, FR-34",AITP-21,"GitHub Copilot wird nicht Teil des VS-Code-Simulators, sondern als eigenes Produkt mit Integration hostProductId=vscode modelliert. Abgedeckt: Chat, Inline-Vorschläge, Kontextverständnis, Ansatz Agent-Modus sowie die für Lerninhalte benötigten produktversionsabhängigen Chat-Sitzungen und Modellauswahl.","- Copilot ist im VS-Code-Simulator ein- und ausschaltbar
- Inline-Vorschlag kann angenommen oder abgelehnt werden (ai.suggestion.accepted/rejected)
- Chat kennt den geöffneten Dateikontext
- Eine neue Copilot-Unterhaltung kann begonnen werden; der simulierte Gesprächskontext wird dabei deterministisch neu aufgebaut
- Modellwahl einschließlich Auto-/Standardauswahl ist über semantische UiTargetRefs erreichbar; angebotene Optionen stammen aus versionierten Produktdaten
- Derselbe VS-Code-Simulator funktioniert auch ohne Copilot"
AITP-25,Zweiten Technologie-Prototyp als Generizitätsbeweis,Story,EP-03,Runtime-Adapter & Simulatoren,Must,13,M2,"FR-34, NFR-07","AITP-20, AITP-10","Ein zweites Produkt als eigener Adapter, empfohlen Claude Code (CLI-Agent) oder M365 Copilot (Office Assistant). Zweck ist nicht ein vollständiger Kurs, sondern der Nachweis, dass Engine, Overlay, Tutor und Punkte unverändert funktionieren.","- Adapter implementiert dasselbe Interface und besteht die Contract-Tests
- Ein Mini-Szenario mit mindestens vier Schritten läuft vollständig durch
- Für die Umsetzung war keine Änderung an packages/training-engine nötig (per Diff belegt)"
AITP-26,Snapshot/Restore je Adapter,Story,EP-03,Runtime-Adapter & Simulatoren,Should,5,M2,FR-36,AITP-20,Serialisierbarer Laufzeitzustand als Grundlage für exakte Wiederaufnahme.,"- Dateibaum, offene Tabs, Editorinhalte, Terminalhistorie und Git-Zustand werden erfasst
- Restore stellt den Zustand vollständig wieder her"
AITP-27,Spike - Machbarkeit und Kosten echter Runtime (code-server),Spike,EP-03,Runtime-Adapter & Simulatoren,Could,5,M4,FR-37,,"Untersuchen, ob code-server hinter demselben RuntimeAdapter-Interface betreibbar ist (Event-Erfassung, Zustandsabfrage, Zielauflösung im iFrame) und was eine aktive Sitzung real kostet. Ergebnis entscheidet ADR-01.","- Prototyp mit einem eingebetteten code-server, mindestens ein Event erfasst
- Belastbare Kostenschätzung pro aktiver Nutzerstunde
- Klare Aussage, ob resolveTarget im iFrame umsetzbar ist
- Schriftliche Empfehlung zur Hybrid-Strategie"
AITP-30,Trainingsmodi als generisches Konzept einführen,Story,EP-04,Trainingsmodi Explore / Guided / Challenge,Must,8,M1,"FR-20, FR-21, FR-22, FR-23",AITP-10,"mode als Eigenschaft des Szenarios; Engine, Guide-Panel, Overlay, Tutor und Scoring verhalten sich modusabhängig.","- Alle drei Modi sind auswählbar und wirken sich sichtbar auf die Führung aus
- Der Modus bestimmt den Punkte-Multiplikator
- Ein Modul kann mehrere Modi anbieten"
AITP-31,Explore-Modus - freie Inspektion der Oberfläche,Story,EP-04,Trainingsmodi Explore / Guided / Challenge,Must,8,M1,FR-20,"AITP-21, AITP-30",Der Nutzer klickt frei auf Oberflächenbereiche; das System erklärt jedes Element über describeSurface() und den Begriffskatalog. Fortschritt = Anteil erkundeter Elemente.,"- Jedes von describeSurface gemeldete Element liefert eine Erklärung
- Erkundungsfortschritt ist sichtbar
- Kein Zeitdruck, keine Fehlermeldungen in diesem Modus"
AITP-32,Challenge-Modus - Aufgabe ohne Schritt-für-Schritt-Führung,Story,EP-04,Trainingsmodi Explore / Guided / Challenge,Must,5,M2,FR-22,"AITP-13, AITP-30","Nur Zielbeschreibung und Erfolgskriterien, kein Overlay, Tutor nur auf ausdrückliche Anfrage, Hinweise reduzieren den Bonus.","- Keine automatischen Hinweise oder Highlights
- Erfolg wird über Endzustand geprüft
- Nach Abschluss wird ein Lösungsvergleich angeboten"
AITP-33,Einstiegsempfehlung und Überspringen für erfahrene Nutzer,Story,EP-04,Trainingsmodi Explore / Guided / Challenge,Should,3,M3,FR-24,AITP-32,Vorkenntnisabfrage oder Direkteinstieg in Challenge; bei Scheitern sanfte Rückführung in den Guided-Modus.,"- Nutzer kann Guided überspringen
- Nach zwei gescheiterten Challenge-Versuchen wird Guided vorgeschlagen, nicht erzwungen"
AITP-40,Overlay-Engine auf semantische Zielreferenzen umstellen,Story,EP-05,"Guide-Panel, Overlay & Hilfesystem",Must,8,M1,"FR-40, FR-41",AITP-20,Szenarien geben nur UiTargetRef an; die Auflösung nach DOMRect erfolgt ausschließlich im Adapter. Keine CSS-Selektoren in Szenariodaten.,"- Kein Szenario enthält einen CSS-Selektor oder DOM-Bezug
- Abdunkelung mit Aussparung, Zielelement bleibt klickbar
- Position folgt Resize und Scroll
- Nicht auflösbares Ziel führt zu Textanweisung statt falscher Markierung"
AITP-41,Dreistufiges Hilfesystem mit Protokollierung,Story,EP-05,"Guide-Panel, Overlay & Hilfesystem",Must,5,M1,FR-42,AITP-40,"Stufe 1 Hinweis, Stufe 2 konkrete Anweisung, Stufe 3 visuelle Hervorhebung. Jede Nutzung wird erfasst, um später den tatsächlichen Unterstützungsbedarf auszuwerten.","- Stufen werden einzeln und in Reihenfolge abgerufen
- Nutzung wird je Schritt gespeichert
- Auswirkung auf den Bonus ist vor dem Abruf transparent angezeigt"
AITP-42,Guide-Panel auf die fünf Orientierungsfragen ausrichten,Story,EP-05,"Guide-Panel, Overlay & Hilfesystem",Must,5,M1,FR-43,,"Das Panel beantwortet jederzeit sichtbar - Wo bin ich, was soll ich tun, warum, war meine Aktion erfolgreich, was kommt als Nächstes.","- Alle fünf Informationen sind ohne Scrollen erkennbar
- Erfolgsrückmeldung erscheint innerhalb von 300 ms nach Validierung
- Der Warum-Text stammt aus step.rationale und ist optional aufklappbar"
AITP-43,Fehlerverhalten und Beinahe-Treffer-Feedback im Panel,Story,EP-05,"Guide-Panel, Overlay & Hilfesystem",Must,3,M1,FR-13,AITP-12,"Bei near-miss erscheint die konfigurierte Meldung, optional wird das falsche Element markiert. Ton ist unterstützend, nicht tadelnd.","- Falscher Dateiname erzeugt die Meldung aus onFailure
- Optionales Markieren des falschen Elements funktioniert
- Nach drei Fehlversuchen wird die nächste Hilfestufe aktiv angeboten"
AITP-44,Sprachausgabe für Guide- und Erklärungstexte,Story,EP-05,"Guide-Panel, Overlay & Hilfesystem",Should,5,M4,NFR-08,"AITP-42, AITP-95",Guide- und Erklärungstexte können zusätzlich zum sichtbaren Text auf ausdrückliche Nutzeraktion vorgelesen werden. Die Sprachausgabe ist eine optionale Darstellungsform derselben Content-Quelle; es gibt keine separat gepflegte Audio-Textkopie und kein Autoplay.,"- Jede dafür freigegebene Guide-/Erklärbox bietet eine per Tastatur bedienbare Play-/Pause-Steuerung
- Die Sprachausgabe verwendet exakt den aktuell angezeigten Erklärungstext
- Wiedergabe startet ausschließlich nach Nutzeraktion; es gibt kein Autoplay
- Beim Wechsel des Trainingsschritts wird eine laufende Wiedergabe sauber beendet oder auf den neuen Inhalt umgestellt
- Die Sprachausgabe verwendet die aktuell gewählte Content-Sprache und folgt dem Fallback-Verhalten aus AITP-95
- Die sichtbare Texterklärung bleibt vollständig nutzbar, wenn Sprachausgabe nicht verfügbar oder deaktiviert ist"
AITP-50,Tutor-Kontextobjekt aufbauen,Story,EP-06,KI-Tutor,Must,5,M1,FR-44,AITP-10,"TutorContext mit Szenario, Modus, aktuellem Schritt, abgeschlossenen Schritten, letzten zehn Events, Hinweisnutzung, Fehlversuchen und Zustandszusammenfassung.","- Kontext ist typisiert und wird bei jedem Zustandswechsel aktualisiert
- Kontext enthält keine personenbezogenen Daten über die Session hinaus"
AITP-51,Tutor Stufe 1 - deterministische Antworten aus dem Content,Story,EP-06,KI-Tutor,Must,5,M1,FR-45,AITP-50,"Antworten auf Standardfragen (Was soll ich jetzt tun, warum, was bedeutet Begriff X) werden aus rationale, helpLevels und dem Begriffskatalog erzeugt. Kein externes Modell.","- Die Frage ""Was soll ich jetzt machen?"" liefert immer die korrekte Schrittanweisung
- Begriffsfragen werden aus dem Glossar beantwortet
- Funktioniert ohne Netzwerkzugriff auf externe Dienste"
AITP-52,Tutor Stufe 2 - LLM-Anbindung mit Guardrails,Story,EP-06,KI-Tutor,Should,8,M3,FR-46,"AITP-51, AITP-83","Freie Fragen über einen serverseitigen Proxy. Systemprompt enthält den aktuellen Schritt und die Regel, keine nicht hinterlegten UI-Anweisungen zu erfinden. Handlungsvorschläge müssen auf existierende UiTargetRefs verweisen.","- API-Schlüssel liegen ausschließlich serverseitig
- Antworten mit erfundenen UI-Elementen werden abgefangen und auf Rückfrage reduziert
- Nutzercode wird nur bei aktivem Mandanten-Opt-in übertragen
- Kosten pro Sitzung sind begrenzt und protokolliert"
AITP-53,Sichtbarkeitsverhalten des Tutor-Panels evaluieren,Spike,EP-06,KI-Tutor,Should,3,M3,FR-47,"AITP-51, AITP-110",Offene Produktfrage aus dem POC - soll der Tutor dauerhaft sichtbar sein? Zwei Varianten im Pilot gegeneinander messen (dauerhaft sichtbar vs. eingeklappt mit Hinweisindikator).,"- Beide Varianten sind schaltbar
- Nutzung, Abschlussquote und Hinweisbedarf werden je Variante ausgewertet
- Schriftliche Empfehlung liegt vor"
AITP-60,Scoring Engine mit Modus-Multiplikator,Story,EP-07,"Punktesystem, Kompetenzprofil & Nachweise",Must,5,M2,"FR-50, FR-51",AITP-14,"Basispunkte 70 Prozent, Bonus 30 Prozent. Multiplikator Explore 0,5 / Guided 1,0 / Challenge 2,0. Hinweise reduzieren nur den Bonus, Fehlversuche kosten nichts.","- Berechnung erfolgt serverseitig, nie im Client
- Hinweisabzüge entsprechen docs/05 §5.2
- Fehlversuche verändern die Punktzahl nicht
- Punkteberechnung ist per Unit-Test abgedeckt"
AITP-61,Anti-Gaming-Regeln,Story,EP-07,"Punktesystem, Kompetenzprofil & Nachweise",Must,3,M2,FR-53,AITP-60,"Punkte je Szenario-Version nur einmal, Wiederholung als punktfreie Übung, Markierung auffällig schneller Durchläufe als suspect_fast ohne Anrechnung auf Nachweise.","- Zweiter Durchlauf desselben Szenarios vergibt keine Punkte, wird aber gespeichert
- Durchläufe unter 25 Prozent der Schätzzeit sind markiert
- Neue Szenario-Version ist erneut punktefähig"
AITP-62,Kompetenzprofil je Technology mit Stufen,Story,EP-07,"Punktesystem, Kompetenzprofil & Nachweise",Must,5,M2,FR-52,"AITP-60, AITP-1","Punkteaggregation je Technology, Stufen Novice / Advanced Beginner / Practitioner / Proficient. Darstellung als ruhige Kompetenzmatrix, keine Spielelemente.","- Profil zeigt alle Technologien mit Punktestand und Stufe
- Practitioner erfordert mindestens eine bestandene Challenge
- Schwellen sind konfigurierbar, nicht hart codiert"
AITP-63,Kompetenznachweise erzeugen und exportieren,Story,EP-07,"Punktesystem, Kompetenzprofil & Nachweise",Must,8,M3,"FR-54, FR-64","AITP-62, AITP-3","Attestation bei Erfüllung aller Modul-Lernziele im Challenge-Modus, mit Produktversion, Nachweisdaten, 12 Monaten Gültigkeit und signiertem PDF/CSV-Export.","- Nachweis enthält Lernziele, Produktversion, Datum, Gültigkeit und Belegdaten
- Export als PDF und CSV
- Abgelaufene Nachweise sind als solche gekennzeichnet und lösen eine Re-Zertifizierungsempfehlung aus"
AITP-64,Wöchentliche Lernkontinuität statt Tages-Streaks,Story,EP-07,"Punktesystem, Kompetenzprofil & Nachweise",Should,3,M3,FR-57,AITP-60,"Konfigurierbares Wochenziel, Verlauf der letzten acht Wochen, kein Verlustmechanismus, Erinnerungen nur mit Opt-in.","- Wochenziel ist durch die lernende Person einstellbar
- Keine Abwertung bei Unterbrechung
- Keine Benachrichtigung ohne ausdrückliche Zustimmung"
AITP-65,Abschlussbildschirm mit Auswertung und Anschlussaktion,Story,EP-07,"Punktesystem, Kompetenzprofil & Nachweise",Must,3,M2,FR-56,AITP-60,"Schritte, Dauer, Hinweise, Fehlversuche, erzielte Punkte, Kompetenzveränderung und konkreter Vorschlag für das nächste Modul.","- Alle genannten Kennzahlen werden angezeigt
- Genau eine empfohlene Folgeaktion ist hervorgehoben
- Wiederholen ist möglich, ohne die bestehende Punktzahl zu gefährden"
AITP-70,"Dashboard ""Meine Trainings"" auf Kompetenz- statt Kursorientierung umstellen",Story,EP-08,"Dashboard, Reporting & Rollen",Must,5,M2,FR-60,AITP-62,Neben Kurskarten das Kompetenzprofil und eine klare Empfehlung des nächsten sinnvollen Schritts. Angefangene Trainings sind sofort fortsetzbar.,"- Fortsetzen führt exakt an den letzten Stand
- Kompetenzprofil ist auf der Startseite sichtbar
- Genau eine empfohlene nächste Aktion pro Nutzer"
AITP-71,Rollen- und Berechtigungsmodell,Story,EP-08,"Dashboard, Reporting & Rollen",Should,5,M3,"FR-62, FR-65",AITP-83,"Rollen Lernende, Autor, Trainer/L&D, Mandanten-Admin mit klar getrennten Sichten und Datenzugriffen.","- Rollen sind serverseitig durchgesetzt, nicht nur in der UI ausgeblendet
- Trainer sehen keine personenbezogenen Fehlversuchsdaten
- Mandantenübergreifender Zugriff ist ausgeschlossen und getestet"
AITP-72,Aggregiertes Reporting für L&D,Story,EP-08,"Dashboard, Reporting & Rollen",Should,8,M4,FR-63,"AITP-71, AITP-110","Abschlussquoten, Abbruchpunkte je Schritt, durchschnittliche Hinweisnutzung, Zeitbedarf - aggregiert ab Mindestgruppengröße.","- Auswertungen erst ab n gleich 5 Personen sichtbar
- Abbruchpunkte je Schritt identifizierbar (Grundlage für Content-Verbesserung)
- Export als CSV"
AITP-73,Zuweisung von Curricula an Gruppen,Story,EP-08,"Dashboard, Reporting & Rollen",Could,5,M5,FR-67,AITP-71,Pflichtcurricula je Rolle oder Abteilung zuweisen und deren Erfüllung verfolgen.,"- Zuweisung an Gruppe möglich
- Erfüllungsstand je Gruppe sichtbar"
AITP-80,Prototyp-Quellcode in ein eigenes Git-Repository überführen,Chore,EP-09,"Plattform, Auth, Persistenz & Deployment",Must,3,M1,,,"Quellcode aus dem Prototyping-Werkzeug exportieren, Monorepo-Struktur gemäß README anlegen, Linting, Formatierung, TypeScript-Strict-Mode und CI-Pipeline einrichten.","- Repository baut lokal und in CI reproduzierbar
- TypeScript strict aktiv, keine impliziten any
- Branch-Schutz und Pull-Request-Pflicht eingerichtet"
AITP-81,Monorepo-Aufteilung in apps und packages,Chore,EP-09,"Plattform, Auth, Persistenz & Deployment",Must,5,M1,NFR-07,AITP-80,"apps/web, packages/training-engine, runtime-core, runtime-vscode-sim, runtime-terminal-sim, catalog, content/scenarios.","- Abhängigkeitsrichtung wird per Lint-Regel erzwungen (UI darf Engine importieren, nicht umgekehrt)
- Jedes Package ist einzeln baubar und testbar"
AITP-82,AWS-Amplify-Hosting einrichten,Task,EP-09,"Plattform, Auth, Persistenz & Deployment",Must,3,M2,,AITP-81,"Amplify Hosting mit Monorepo-Konfiguration, Branch-Deployments für main und Vorschau, eigener Domain und Basisschutz für die Vorschauumgebung.","- Push auf main deployt automatisch
- Vorschau-Deployments je Pull Request
- Vorschauumgebung ist nicht öffentlich zugänglich"
AITP-83,Authentifizierung mit OIDC-Föderation und lokalem Fallback,Story,EP-09,"Plattform, Auth, Persistenz & Deployment",Must,8,M2,FR-61,AITP-82,Amplify Auth bzw. Cognito mit Vorbereitung auf Föderation zum Firmen-IdP; lokaler Login als Rückfallebene für Pilotnutzer ohne SSO-Anbindung.,"- Anmeldung, Abmeldung und Sitzungsverlängerung funktionieren
- OIDC-Föderation ist konfigurierbar, ohne Codeänderung austauschbar
- Nutzeridentität ist im Fortschrittsdatenmodell verankert"
AITP-84,Serverseitige Fortschritts- und Punktepersistenz,Story,EP-09,"Plattform, Auth, Persistenz & Deployment",Must,8,M2,"FR-15, FR-65",AITP-83,"Datenmodell für Sessions, StepStates, HintUsage, Attempts, SkillProfile und Attestations mit Mandantenschlüssel.","- Jeder Datensatz trägt tenantId und userId
- Zugriff ist serverseitig auf den eigenen Mandanten begrenzt
- Migrationen sind versioniert"
AITP-85,Transportschicht für Events abstrahieren (WebSocket-Vorbereitung),Story,EP-09,"Plattform, Auth, Persistenz & Deployment",Should,5,M4,,AITP-15,"Event-Transport hinter ein Interface legen, damit später ein WebSocket-Backend eingesetzt werden kann, ohne Engine oder UI zu ändern.","- In-Process- und Mock-Remote-Transport sind austauschbar
- Kein Konsument kennt die Transportimplementierung"
AITP-90,JSON-Schema für Szenarien und CI-Validierung,Story,EP-10,Content-Authoring & Szenariokatalog,Must,5,M1,"FR-04, NFR-06","AITP-2, AITP-20","Schema für Scenario/Step inklusive Referenzprüfung - existiert der UiTargetRef im Adapter, existiert das Lernziel im Katalog, ist der Validator wohlgeformt.","- Ungültiges Szenario bricht den CI-Build
- Nicht existierender UiTargetRef wird als Fehler gemeldet
- Fehlermeldungen benennen Datei und Pfad"
AITP-91,Bestehenden Git/VS-Code/Copilot-Kurs auf die neue Architektur migrieren,Story,EP-10,Content-Authoring & Szenariokatalog,Must,8,M1,FR-03,"AITP-90, AITP-10","Die acht POC-Schritte als deklarative Szenariodaten neu abbilden und aus den React-Komponenten entfernen, ohne die bestehende UX zu verschlechtern.","- Keine Szenariodaten mehr in Komponenten
- Der Ablauf ist für Nutzer identisch oder besser
- Szenario besteht die Schema-Validierung"
AITP-92,"Modul ""VS Code Grundlagen"" mit allen drei Modi",Story,EP-10,Content-Authoring & Szenariokatalog,Must,13,M2,"FR-20, FR-21, FR-22, FR-32","AITP-22, AITP-31, AITP-32","Erstes vollständiges Modul der neuen Struktur - Explore (Oberfläche kennenlernen), Guided (Workspace anlegen, Datei erstellen), Challenge (bestehendes Projekt öffnen und Datei anlegen).","- Alle drei Szenarien laufen fehlerfrei durch
- Ordner-vs-Workspace ist Bestandteil des Lerninhalts
- Lernziele sind vergeben und nachweisfähig"
AITP-93,Begriffskatalog (Glossar) als Content-Quelle,Story,EP-10,Content-Authoring & Szenariokatalog,Should,3,M2,FR-45,,"Zentrale Begriffsdefinitionen (Workspace, Repository, Working Tree, Stage, Commit, Branch, Extension, Prompt, Kontext), referenzierbar aus Schritten und Tutor.","- Jeder Begriff hat eine einfache Erklärung und eine Vertiefung
- Tutor beantwortet Begriffsfragen ausschließlich aus dieser Quelle
- Begriffe sind im Explore-Modus mit UI-Elementen verknüpfbar"
AITP-94,Autorenvorschau für Szenarien,Story,EP-10,Content-Authoring & Szenariokatalog,Could,8,M4,FR-08,AITP-90,"Szenario laden, Schritt für Schritt simulieren, Zielauflösung und Validatoren prüfen - ohne Deployment.","- Autor sieht sofort, ob ein Highlight-Ziel auflösbar ist
- Validatoren sind gegen simulierte Events testbar
- Kein Frontend-Codewissen erforderlich"
AITP-95,Mehrsprachigkeit vorbereiten (DE/EN),Story,EP-10,Content-Authoring & Szenariokatalog,Should,5,M4,"FR-07, NFR-12",,"Texte aus Komponenten und Content trennen, Sprachdateien einführen und eine während des Trainings erreichbare Sprachauswahl bereitstellen. Initial werden Deutsch und Englisch unterstützt; Deutsch bleibt Fallback für fehlende Übersetzungen. Ein Sprachwechsel darf den Trainingsfortschritt nicht verändern oder zurücksetzen.","- Keine fest verdrahteten Anzeigetexte in Komponenten
- Szenariotexte sind je Sprache ablegbar
- Nutzer können Deutsch oder Englisch über einen klar erreichbaren Schalter bzw. ein Dropdown auswählen
- Ein Sprachwechsel aktualisiert Plattform- und Szenariotexte, ohne den aktuellen Trainingszustand zu verlieren
- Fehlende Übersetzung fällt sichtbar auf DE zurück"
